Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
91608	RASL10B	RAS-like, family 10, member B	NM_033315	NP_201572.1	ENSG00000141150	chr17:31086316 - 31092437	GTP binding;intracellular;membrane;nucleotide binding;small GTPase mediated signal transduction	Tumor Suppressor
387496	RASL11A	RAS-like, family 11, member A	NM_206827	NP_996563.1	ENSG00000122035	chr13:26743081 - 26745631	GTP binding;membrane;nucleotide binding;small GTPase mediated signal transduction	Tumor Suppressor
11186	RASSF1	Ras association (RalGDS/AF-6) domain family 1	NM_170714	NP_733830.1	ENSG00000068028	chr3:50343015 - 50353240	cell cycle;cell cycle arrest;diacylglycerol binding;identical protein binding;intracellular signaling cascade;metal ion binding;microtubule;nucleus;Ras protein signal transduction;zinc ion binding	Tumor Suppressor,  Entrez Query:Oncogene
9770	RASSF2	Ras association (RalGDS/AF-6) domain family 2	NM_014737	NP_739580.1	ENSG00000101265	chr20:4712918 - 4729676	cell cycle;negative regulation of progression through cell cycle;nucleus;protein binding;signal transduction	Stability,  Tumor Suppressor
283349	RASSF3	Ras association (RalGDS/AF-6) domain family 3	NM_178169	NP_835463.1	ENSG00000153179	chr12:63290679 - 63374959	microtubule;protein binding;signal transduction	Entrez Query:Oncogene
83937	RASSF4	Ras association (RalGDS/AF-6) domain family 4	NM_032023	NP_114412.2	ENSG00000107551	chr10:44785656 - 44808783	cell cycle;negative regulation of progression through cell cycle;protein binding;signal transduction	Tumor Suppressor
83593	RASSF5	Ras association (RalGDS/AF-6) domain family 5	NM_182663, NM_182664, NM_182665	NP_872604.1, NP_872605.1, NP_872606.1	ENSG00000136653	chr1:204747558 - 204826933	apoptosis;cell cycle;diacylglycerol binding;intracellular signaling cascade;metal ion binding;microtubule;negative regulation of progression through cell cycle;protein binding;signal transduction;zinc ion binding	Tumor Suppressor
166824	RASSF6	Ras association (RalGDS/AF-6) domain family 6	NM_177532	NP_803876.1	ENSG00000169435	chr4:74660815 - 74705081	protein binding;signal transduction	Tumor Suppressor
5925	RB1	retinoblastoma 1 (including osteosarcoma)	NM_000321	NP_000312.2	ENSG00000139687	chr13:47776049 - 47952208	androgen receptor binding;androgen receptor signaling pathway;cell cycle;cell cycle checkpoint;chromatin;chromatin modification;G1 phase;kinase binding;M phase;molecular_function;negative regulation of cell growth;negative regulation of progression through cell cycle;negative regulation of protein kinase activity;negative regulation of transcription from RNA polymerase II promoter;nucleus;PML body;positive regulation of transcription, DNA-dependent;protein binding;regulation of lipid kinase activity;regulat	Androgen Receptor,  ID,  TGFBR,  Futreal et al 2004,  Hahn and Weinberg 2002,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene,  Frameshift mutation,  Large deletion,  Missense mutation,  Nonsense mutation,  Splicing mutation
9821	RB1CC1	RB1-inducible coiled-coil 1	NM_014781, NM_001083617	NP_055596.3, NP_001077086.1	ENSG00000023287	chr8:53698894 - 53760582	cell cycle;negative regulation of progression through cell cycle;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription	Tumor Suppressor
57786	RBAK	RB-associated KRAB zinc finger	NM_021163	NP_066986.1	ENSG00000146587	chr7:5054233 - 5071758	intracellular;metal ion binding;nucleic acid binding;nucleus;regulation of transcription, DNA-dependent;transcriptional repressor activity;zinc ion binding	Tumor Suppressor
5928	RBBP4	retinoblastoma binding protein 4	NM_005610	NP_005601.1	ENSG00000162521	chr1:32889494 - 32917893	cell cycle;chromatin remodeling;DNA replication;DNA-dependent ATPase activity;negative regulation of cell proliferation;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription	Tumor Suppressor
5929	RBBP5	retinoblastoma binding protein 5	NM_005057	NP_005048.2	ENSG00000117222	chr1:203324537 - 203357624	histone methyltransferase complex;nucleus;protein binding	Tumor Suppressor
5930	RBBP6	retinoblastoma binding protein 6	NM_006910, NM_032626, NM_018703	NP_008841.2, NP_116015.2, NP_061173.1	ENSG00000122257	chr16:24459448 - 24491267	metal ion binding;nucleic acid binding;nucleus;protein binding;protein ubiquitination;regulation of progression through cell cycle;ubiquitin ligase complex;ubiquitin-protein ligase activity;zinc ion binding	Tumor Suppressor
5931	RBBP7	retinoblastoma binding protein 7	NM_002893	NP_002884.1	ENSG00000102054	chrX:16773078 - 16798097	cell proliferation;chromatin modification;DNA replication;multicellular organismal development;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription	EGFR1,  Tumor Suppressor
5932	RBBP8	retinoblastoma binding protein 8	NM_203292, NM_203291	NP_976037.1, NP_976036.1	ENSG00000101773	chr18:18770812 - 18860201		Stability,  Tumor Suppressor
10616	RBCK1	RanBP-type and C3HC4-type zinc finger containing 1	NM_006462, NM_031229	NP_006453.1, NP_112506.2	ENSG00000125826	chr20:337401 - 359074	intracellular;metal ion binding;protein binding;protein modification process;ubiquitin cycle;zinc ion binding	Protein Kinase
5933	RBL1	retinoblastoma-like 1 (p107)	NM_002895, NM_183404	NP_002886.2, NP_899662.1	ENSG00000080839	chr20:35060575 - 35157745	cell cycle;chromatin modification;negative regulation of progression through cell cycle;nucleus;protein binding;regulation of lipid kinase activity;regulation of transcription, DNA-dependent;transcription	TGFBR,  Tumor Suppressor
5934	RBL2	retinoblastoma-like 2 (p130)	NM_005611	NP_005602.3	ENSG00000103479	chr16:52025969 - 52081713	cell cycle;chromatin modification;DNA binding;negative regulation of progression through cell cycle;nucleus;protein binding;regulation of lipid kinase activity;regulation of transcription, DNA-dependent;transcription	TGFBR,  Tumor Suppressor
10432	RBM14	RNA binding motif protein 14	NM_006328	NP_006319.1	ENSG00000173959	chr11:66140767 - 66150715	DNA recombination;DNA repair;DNA replication;estrogen receptor signaling pathway;glucocorticoid receptor signaling pathway;histone deacetylation;ligand-dependent nuclear receptor transcription coactivator activity;mediator complex;nucleic acid binding;nucleotide binding;nucleus;positive regulation of transcription from RNA polymerase II promoter;protein binding, bridging;regulation of transcription, DNA-dependent;response to hormone stimulus;ribonucleoprotein complex;RNA binding;RNA polymerase II transcript	Stability,  Tumor Suppressor
64783	RBM15	RNA binding motif protein 15	NM_022768	NP_073605.4	ENSG00000162775	chr1:110683550 - 110689754	nucleotide binding;nucleus;regulation of transcription;RNA binding	Futreal et al 2004,  Mitelman 2000,  Translocation
5935	RBM3	RNA binding motif (RNP1, RRM) protein 3	NM_006743	NP_006734.1	ENSG00000102317	chrX:48318512 - 48320418	nucleic acid binding;nucleotide binding;RNA binding;RNA processing	Entrez Query:Oncogene
55544	RBM38	RNA binding motif protein 38	NM_183425, NM_017495	NP_906270.1, NP_059965.2	ENSG00000132819	chr20:55400044 - 55416308	nucleic acid binding;nucleotide binding;RNA binding	Stability
5936	RBM4	RNA binding motif protein 4			ENSG00000173933	chr11:null	metal ion binding;mRNA processing;nucleotide binding;nucleus;RNA binding;RNA splicing;type I hypersensitivity;zinc ion binding	Tumor Suppressor
10181	RBM5	RNA binding motif protein 5	NM_005778	NP_005769.1	ENSG00000003756	chr3:50102871 - 50130893	cell cycle;DNA binding;intracellular;metal ion binding;negative regulation of progression through cell cycle;nucleotide binding;nucleus;RNA binding;RNA processing;zinc ion binding	Tumor Suppressor
5937	RBMS1	RNA binding motif, single stranded interacting protein 1	NM_016836, NM_002897	NP_058520.1, NP_002888.1	ENSG00000153250	chr2:160840393 - 161058120	cellular_component;DNA binding;DNA replication;double-stranded DNA binding;nucleotide binding;nucleus;RNA binding;RNA processing;single-stranded DNA binding	Entrez Query:Oncogene
5940	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	NM_005058, NM_001006121	NP_001006120.2, NP_001006121.1, NP_005049.1	ENSG00000174622	chrY:22435888 - 22448048	nucleic acid binding;nucleotide binding;nucleus;RNA binding;RNA processing;spermatogenesis	Entrez Query:Oncogene
5947	RBP1	retinol binding protein 1, cellular	NM_002899	NP_002890.2	ENSG00000114115	chr3:140719158 - 140741064	lipid binding;retinal binding;retinol binding;retinol metabolic process;transport	Tumor Suppressor
116362	RBP7	retinol binding protein 7, cellular	NM_052960	NP_443192.1	ENSG00000162444	chr1:9979903 - 9998477	lipid binding;retinal binding;retinol binding;transport	Stability
3516	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	NM_005349, NM_203284, NM_015874, NM_203283	NP_005340.2, NP_976029.1, NP_056958.3, NP_976028.1	ENSG00000168214	chr4:25931748 - 26041727	DNA recombination;negative regulation of transcription, DNA-dependent;Notch signaling pathway;nucleolus;nucleus;protein binding;recombinase activity;RNA polymerase II transcription factor activity;transcription;transcription factor activity;transcription from RNA polymerase II promoter	NOTCH
9978	RBX1	ring-box 1	NM_014248	NP_055063.1	ENSG00000100387	chr22:39677348 - 39698438	DNA repair;metal ion binding;nucleus;protein binding;protein catabolic process;ubiquitin cycle;zinc ion binding	NOTCH,  TGFBR,  Stability
149041	RC3H1	ring finger and CCCH-type zinc finger domains 1	NM_172071	NP_742068.1	ENSG00000135870	chr1:172174481 - 172228746	metal ion binding;protein binding;RNA binding;zinc ion binding	Stability
25898	RCHY1	ring finger and CHY zinc finger domain containing 1	NM_001008925, NM_001009922, NM_015436	NP_001008925.1, NP_001009922.1, NP_056251.2	ENSG00000163743	chr4:76626771 - 76658520	cytoplasm;metal ion binding;nucleus;protein binding;zinc ion binding	Androgen Receptor,  Stability
5959	RDH5	retinol dehydrogenase 5 (11-cis/9-cis)	NM_001487, NM_002905	NP_001478.1, NP_002896.2	ENSG00000135437	chr12:54401235 - 54404596	membrane;metabolic process;oxidoreductase activity;response to stimulus;retinol dehydrogenase activity;visual perception	NOTCH
201299	RDM1	RAD52 motif 1	NM_001034836, NM_145654	NP_001030008.1, NP_663629.1	ENSG00000187456	chr17:31269458 - 31281844		Stability
8434	RECK	reversion-inducing-cysteine-rich protein with kazal motifs	NM_021111	NP_066934.1	ENSG00000122707	chr9:36026995 - 36113042	cell cycle;GPI anchor binding;membrane;metalloendopeptidase inhibitor activity;negative regulation of progression through cell cycle;peripheral to membrane of membrane fraction;protein binding;serine-type endopeptidase inhibitor activity	Tumor Suppressor,  Entrez Query:Oncogene
5965	RECQL	RecQ protein-like (DNA helicase Q1-like)	NM_002907	NP_116559.1	ENSG00000004700	chr12:21514394 - 21543771	ATP binding;ATP-dependent DNA helicase activity;DNA binding;DNA recombination;DNA repair;hydrolase activity;nucleotide binding;nucleus;protein binding	Stability
9401	RECQL4	RecQ protein-like 4	NM_004260	NP_004251.2	ENSG00000160957	chr8:145707621 - 145713976	ATP binding;ATP-dependent helicase activity;DNA helicase activity;DNA recombination;DNA repair;hydrolase activity;multicellular organismal development;nucleic acid binding;nucleotide binding;nucleus;zinc ion binding	Futreal et al 2004,  Vogelstein and Kinzler 2004,  Stability,  Frameshift mutation,  Nonsense mutation,  Splicing mutation
9400	RECQL5	RecQ protein-like 5	NM_001003715, NM_001003716, NM_004259	NP_001003715.1, NP_001003716.1, NP_004250.4	ENSG00000108469	chr17:71135096 - 71174232	ATP binding;ATP-dependent helicase activity;cytoplasm;DNA helicase activity;DNA recombination;DNA repair;hydrolase activity;nucleic acid binding;nucleoplasm;nucleotide binding;nucleus	Stability
5966	REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	NM_002908	NP_002899.1	ENSG00000162924	chr2:60962479 - 61003174	nucleus;positive regulation of I-kappaB kinase/NF-kappaB cascade;regulation of transcription, DNA-dependent;signal transducer activity;transcription factor activity;transcription from RNA polymerase II promoter	TNF_alpha_NF_kB,  Futreal et al 2004,  Mitelman 2000,  Entrez Query:Oncogene,  Amplification
5970	RELA	v-rel reticuloendotheliosis viral oncogene homolog A, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3, p65 (avian)	NM_021975	NP_068810.3	ENSG00000173039	chr11:65178424 - 65186879	activation of NF-kappaB transcription factor;anti-apoptosis;cellular defense response;cytokine and chemokine mediated signaling pathway;cytoplasm;defense response to virus;hair follicle development;identical protein binding;inflammatory response;negative regulation of protein catabolic process;NF-kappaB binding;nucleus;organ morphogenesis;phosphate binding;positive regulation of I-kappaB kinase/NF-kappaB cascade;positive regulation of interleukin-12 biosynthetic process;positive regulation of transcription,	Androgen Receptor,  NOTCH,  TNF_alpha_NF_kB,  Protein Kinase,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
5971	RELB	v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	NM_006509	NP_006500.2	ENSG00000104856	chr19:50196677 - 50232888	antigen processing and presentation;myeloid dendritic cell differentiation;nucleus;protein binding;regulation of transcription, DNA-dependent;T-helper 1 cell differentiation;transcription corepressor activity;transcription factor activity	TNF_alpha_NF_kB,  Entrez Query:Oncogene
5649	RELN	reelin	NM_005045, NM_173054	NP_005036.2, NP_774959.1	ENSG00000189056	chr7:102900494 - 103417039	cell adhesion;extracellular space;multicellular organismal development;peptidase activity;protein binding;proteinaceous extracellular matrix;serine-type endopeptidase activity	Protein Kinase
85021	REPS1	RALBP1 associated Eps domain containing 1	NM_031922, NM_001128617	NP_114128.3, NP_001122089.1	ENSG00000135597	chr6:139267893 - 139310740	calcium ion binding;protein binding	EGFR1
5979	RET	ret proto-oncogene	NM_020630, NM_020975	NP_065681.1, NP_066124.1	ENSG00000165731	chr10:42892712 - 42943723	ATP binding;calcium ion binding;cell surface receptor linked signal transduction;homophilic cell adhesion;integral to membrane;kinase activity;membrane;nucleotide binding;posterior midgut development;protein amino acid phosphorylation;protein-tyrosine kinase activity;receptor activity;signal transduction;transferase activity	Futreal et al 2004,  Mitelman 2000,  Vogelstein and Kinzler 2004,  Protein Kinase,  Stability,  Tumor Suppressor,  Tyrosine Kinase,  Entrez Query:Oncogene,  Frameshift mutation,  Missense mutation,  Nonsense mutation,  Translocation
51455	REV1	REV1 homolog (S. cerevisiae)	NM_001037872, NM_016316	NP_001032961.1, NP_057400.1	ENSG00000135945	chr2:99384135 - 99447869	damaged DNA binding;deoxycytidyl transferase activity;DNA repair;DNA replication;error-prone postreplication DNA repair;intracellular;magnesium ion binding;nucleus;protein binding;response to UV;transferase activity	Stability
5980	REV3L	REV3-like, catalytic subunit of DNA polymerase zeta (yeast)	NM_002912	NP_002903.3	ENSG00000009413	chr6:111727911 - 111910784	DNA binding;DNA repair;DNA replication;DNA-dependent DNA replication;DNA-directed DNA polymerase activity;metal ion binding;nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;nucleotide binding;nucleus;transferase activity;zeta DNA polymerase activity;zeta DNA polymerase complex;zinc ion binding	Stability
5981	RFC1	replication factor C (activator 1) 1, 145kDa	NM_002913	NP_002904.3	ENSG00000035928	chr4:38966775 - 39044256	ATP binding;DNA binding;DNA replication factor C complex;DNA-dependent DNA replication;enzyme activator activity;intracellular;metal ion binding;nucleoside-triphosphatase activity;nucleotide binding;nucleus;protein binding;regulation of transcription, DNA-dependent;telomere maintenance via telomerase;transcription;zinc ion binding	Stability
5983	RFC3	replication factor C (activator 1) 3, 38kDa	NM_181558, NM_002915	NP_853536.2, NP_002906.1	ENSG00000133119	chr13:33290315 - 33308432	DNA binding;DNA replication;DNA replication factor C complex;DNA strand elongation during DNA replication;DNA-directed DNA polymerase activity;enzyme activator activity;nucleoside-triphosphatase activity;nucleotide binding;nucleus;protein binding	Stability
5984	RFC4	replication factor C (activator 1) 4, 37kDa	NM_002916	NP_853551.1	ENSG00000163918	chr3:187990451 - 188005196	ATP binding;DNA repair;DNA replication;DNA replication factor C complex;DNA strand elongation during DNA replication;nucleoside-triphosphatase activity;nucleotide binding;nucleus;phosphoinositide-mediated signaling;protein binding	Stability
5985	RFC5	replication factor C (activator 1) 5, 36.5kDa	NM_007370	NP_853556.2, NP_031396.1	ENSG00000111445	chr12:116939015 - 116953466	ATP binding;DNA repair;DNA replication;DNA replication factor C complex;enzyme binding;nucleoside-triphosphatase activity;nucleotide binding;nucleus	Stability
64326	RFWD2	ring finger and WD repeat domain 2	NM_022457, NM_001001740	NP_071902.2, NP_001001740.1	ENSG00000143207	chr1:174180911 - 174442737	ligase activity;metal ion binding;nucleus;protein binding;ubiquitin cycle;zinc ion binding	Tumor Suppressor
5863	RGL2	ral guanine nucleotide dissociation stimulator-like 2	NM_004761	NP_004752.1	ENSG00000056687	chr6:33367856 - 33374365	cellular_component;guanyl-nucleotide exchange factor activity;intracellular;Ras guanyl-nucleotide exchange factor activity;Ras protein signal transduction;regulation of small GTPase mediated signal transduction;signal transduction;small GTPase mediated signal transduction	Entrez Query:Oncogene
266747	RGL4	-	NM_153615	NP_705843.1	ENSG00000159496	chr22:22364217 - 22371070	guanyl-nucleotide exchange factor activity;intracellular;small GTPase mediated signal transduction	Entrez Query:Oncogene
56963	RGMA	RGM domain family, member A	NM_020211	NP_064596.1	ENSG00000182175	chr15:91389231 - 91433165	cell surface;GPI anchor binding;membrane;neural tube closure	Tumor Suppressor
6004	RGS16	regulator of G-protein signalling 16	NM_002928	NP_002919.3	ENSG00000143333	chr1:180836049 - 180840017	calmodulin binding;GTPase activator activity;negative regulation of signal transduction;regulation of G-protein coupled receptor protein signaling pathway;signal transducer activity;visual perception	EGFR1,  Stability
387	RHOA	ras homolog gene family, member A	NM_001664	NP_001655.1	ENSG00000067560	chr3:49372645 - 49388026	actin cytoskeleton organization and biogenesis;cytoskeleton;GTP binding;GTPase activity;intracellular;magnesium ion binding;membrane;nucleotide binding;positive regulation of I-kappaB kinase/NF-kappaB cascade;positive regulation of NF-kappaB import into nucleus;protein binding;Rho protein signal transduction;signal transducer activity;small GTPase mediated signal transduction	Alpha6Beta4 Integrin,  Wnt,  Stability,  Tumor Suppressor,  Entrez Query:Oncogene
388	RHOB	ras homolog gene family, member B	NM_004040	NP_004031.1	ENSG00000143878	chr2:20510707 - 20511298	angiogenesis;cell adhesion;cell cycle;cell differentiation;endosome membrane;endosome to lysosome transport;GTP binding;GTPase activity;intracellular;multicellular organismal development;negative regulation of progression through cell cycle;nucleotide binding;nucleus;plasma membrane;positive regulation of angiogenesis;protein binding;protein transport;Rho protein signal transduction;small GTPase mediated signal transduction;transformed cell apoptosis	Tumor Suppressor,  Entrez Query:Oncogene
389	RHOC	ras homolog gene family, member C	NM_175744	NP_786886.1	ENSG00000155366	chr1:113045684 - 113047944	GTP binding;GTPase activity;intracellular;membrane;nucleotide binding;positive regulation of I-kappaB kinase/NF-kappaB cascade;protein binding;signal transducer activity;small GTPase mediated signal transduction	Entrez Query:Oncogene
29984	RHOD	ras homolog gene family, member D	NM_014578	NP_055393.1	ENSG00000173156	chr11:66580949 - 66595649	GTP binding;GTPase activity;intracellular;membrane;nucleotide binding;Rho protein signal transduction;small GTPase mediated signal transduction	Hahn and Weinberg 2002
399	RHOH	ras homolog gene family, member H	NM_004310	NP_004301.1	ENSG00000168421	chr4:39921401 - 39921977	cytoplasm;GTP binding;GTPase inhibitor activity;intracellular;kinase inhibitor activity;membrane;negative regulation of I-kappaB kinase/NF-kappaB cascade;nucleotide binding;regulation of transcription;Rho GTPase binding;small GTPase mediated signal transduction;T cell differentiation	Futreal et al 2004,  Mitelman 2000,  Translocation
253260	RICTOR	-	NM_152756	NP_689969.2	ENSG00000164327	chr5:38978162 - 39110236		Protein Kinase
6015	RING1	ring finger protein 1	NM_002931	NP_002922.2	ENSG00000112477	chr6:33284577 - 33288154	chromatin modification;ligase activity;metal ion binding;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription;transcriptional repressor activity;ubiquitin cycle;zinc ion binding	NOTCH
60561	RINT1	RAD50 interactor 1	NM_021930	NP_068749.3	ENSG00000135249	chr7:104959998 - 104994994	cell cycle;endoplasmic reticulum;ER to Golgi vesicle-mediated transport;G2/M transition DNA damage checkpoint;membrane;protein binding;protein transport	Tumor Suppressor
83732	RIOK1	RIO kinase 1 (yeast)	NM_153005	NP_694550.1	ENSG00000124784	chr6:7335234 - 7362673	ATP binding;chromosome;chromosome, telomeric region;kinase activity;nucleotide binding;protein serine/threonine kinase activity;transferase activity	Protein Kinase
55781	RIOK2	RIO kinase 2 (yeast)	NM_018343	NP_060813.1	ENSG00000058729	chr5:96524520 - 96544651	ATP binding;kinase activity;nucleotide binding;protein serine/threonine kinase activity;transferase activity	Protein Kinase
8737	RIPK1	receptor (TNFRSF)-interacting serine-threonine kinase 1	NM_003804	NP_003795.2	ENSG00000137275	chr6:3022056 - 3058572	apoptosis;ATP binding;nucleotide binding;positive regulation of I-kappaB kinase/NF-kappaB cascade;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;protein-tyrosine kinase activity;signal transducer activity;signal transduction;transferase activity	EGFR1,  TNF_alpha_NF_kB,  Protein Kinase
8767	RIPK2	receptor-interacting serine-threonine kinase 2	NM_003821	NP_003812.1	ENSG00000104312	chr8:90839423 - 90871785	activation of NF-kappaB transcription factor;ATP binding;CARD domain binding;inflammatory response;intracellular;LIM domain binding;nucleotide binding;positive regulation of apoptosis;positive regulation of I-kappaB kinase/NF-kappaB cascade;protein amino acid phosphorylation;protein binding;protein kinase activity;protein serine/threonine kinase activity;receptor activity;signal transducer activity;signal transduction;T cell proliferation;transferase activity	TNF_alpha_NF_kB,  Protein Kinase,  Tyrosine Kinase
11035	RIPK3	receptor-interacting serine-threonine kinase 3	NM_006871	NP_006862.2	ENSG00000129465	chr14:23875220 - 23878872	apoptosis;ATP binding;induction of apoptosis by extracellular signals;nucleotide binding;protein amino acid phosphorylation;protein modification process;protein serine/threonine kinase activity;protein-tyrosine kinase activity;signal transduction;transcription coactivator activity;transferase activity	TNF_alpha_NF_kB,  Protein Kinase
54101	RIPK4	receptor-interacting serine-threonine kinase 4	NM_020639	NP_065690.2	ENSG00000183421	chr21:42034066 - 42060270	ATP binding;cellular_component;nucleotide binding;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;receptor activity;transferase activity	Protein Kinase
25778	RIPK5	receptor interacting protein kinase 5	NM_015375, NM_199462	NP_056190.1, NP_955749.1	ENSG00000133059	chr1:203383308 - 203447286	ATP binding;nucleotide binding;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;transferase activity	Protein Kinase
6016	RIT1	Ras-like without CAAX 1	NM_006912	NP_008843.1	ENSG00000143622	chr1:154136802 - 154147176	calmodulin binding;GTP binding;intracellular;membrane;nucleotide binding;plasma membrane;signal transduction;small GTPase mediated signal transduction	Stability
6037	RNASE3	ribonuclease, RNase A family, 3 (eosinophil cationic protein)	NM_002935	NP_002926.2	ENSG00000169397	chr14:20429685 - 20430168	defense response to bacterium;endonuclease activity;extracellular region;hydrolase activity;nucleic acid binding;pancreatic ribonuclease activity;ribonuclease activity;RNA catabolic process;soluble fraction	Stability
6041	RNASEL	ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)	NM_021133	NP_066956.1	ENSG00000135828	chr1:180811149 - 180822564	ATP binding;cellular_component;endoribonuclease activity, producing 5'-phosphomonoesters;hydrolase activity;metal ion binding;mRNA processing;protein amino acid phosphorylation;protein kinase activity;RNA binding;zinc ion binding	Protein Kinase,  Tumor Suppressor
390	RND3	Rho family GTPase 3	NM_005168	NP_005159.1	ENSG00000115963	chr2:151034746 - 151052177	actin cytoskeleton organization and biogenesis;cell adhesion;GTP binding;GTPase activity;intracellular;membrane;nucleotide binding;small GTPase mediated signal transduction	Tumor Suppressor,  Entrez Query:Oncogene
11236	RNF139	ring finger protein 139	NM_007218	NP_009149.2	ENSG00000170881	chr8:125556531 - 125569066	endoplasmic reticulum;integral to membrane;ligase activity;membrane;metal ion binding;protein binding;receptor activity;regulation of protein ubiquitination;ubiquitin cycle;zinc ion binding	Tumor Suppressor
255488	RNF144B	IBR domain containing 2	NM_182757	NP_877434.2	ENSG00000137393	chr6:18507744 - 18573277	electron carrier activity;electron transport;integral to membrane;iron-sulfur cluster binding;ligase activity;membrane;metal ion binding;protein binding;protein ubiquitination during ubiquitin-dependent protein catabolic process;ubiquitin cycle;ubiquitin ligase complex;ubiquitin-protein ligase activity;zinc ion binding	Stability
165918	RNF168	ring finger protein 168	NM_152617	NP_689830.2	ENSG00000163961	chr3:197683086 - 197714441	metal ion binding;protein binding;zinc ion binding	Stability
54476	RNF216	-	NM_207111, NM_207116	NP_996994.1, NP_996999.1	ENSG00000011275	chr7:5629016 - 5767226	apoptosis;ligase activity;metal ion binding;nucleus;protein binding;ubiquitin cycle;zinc ion binding	TNF_alpha_NF_kB
64320	RNF25	ring finger protein 25	NM_022453	NP_071898.2	ENSG00000163481	chr2:219236923 - 219244937	ligase activity;metal ion binding;protein binding;protein modification process;small conjugating protein ligase activity;ubiquitin cycle;zinc ion binding	TNF_alpha_NF_kB
6047	RNF4	ring finger protein 4	NM_002938	NP_002929.1	ENSG00000063978	chr4:2462018 - 2485344	androgen receptor binding;androgen receptor signaling pathway;metal ion binding;nucleus;positive regulation of transcription, DNA-dependent;protein binding;regulation of transcription from RNA polymerase II promoter;transcription;transcription coactivator activity;transcription factor activity;zinc ion binding	Androgen Receptor
9810	RNF40	ring finger protein 40	NM_014771	NP_055586.1	ENSG00000103549	chr16:30681367 - 30692936	chromatin modification;chromosome;ligase activity;metal ion binding;nucleus;protein binding;ubiquitin cycle;zinc ion binding	Tumor Suppressor
10193	RNF41	ring finger protein 41	NM_194358	NP_919339.1	ENSG00000181852	chr12:54886497 - 54894098	ligase activity;metal ion binding;protein binding;ubiquitin cycle;zinc ion binding	Stability
6049	RNF6	ring finger protein (C3H2C3 type) 6	NM_183044	NP_898865.1	ENSG00000127870	chr13:25685960 - 25691786	axon;biological_process;cellular_component;cytoplasm;DNA binding;metal ion binding;negative regulation of axon extension;PML body;positive regulation of transcription, DNA-dependent;protein binding;transcriptional activator activity;ubiquitin-dependent protein catabolic process;ubiquitin-protein ligase activity;zinc ion binding	Tumor Suppressor
9616	RNF7	ring finger protein 7	NM_183237, NM_014245	NP_899060.1, NP_055060.1	ENSG00000114125	chr3:142939873 - 142946809	anti-apoptosis;copper ion binding;cytoplasm;induction of apoptosis by oxidative stress;metal ion binding;nucleus;protein binding;redox signal response;ubiquitin cycle;zinc ion binding	Stability
9025	RNF8	ring finger protein 8	NM_003958, NM_183078	NP_003949.1, NP_898901.1	ENSG00000112130	chr6:37429918 - 37466512	ligase activity;metal ion binding;nucleus;protein binding;ubiquitin cycle;zinc ion binding	Stability
6093	ROCK1	Rho-associated, coiled-coil containing protein kinase 1	NM_005406	NP_005397.1	ENSG00000067900	chr18:16785342 - 16944869	actin cytoskeleton organization and biogenesis;apoptosis;ATP binding;cytokinesis;cytoskeleton;diacylglycerol binding;identical protein binding;intracellular;intracellular signaling cascade;metal ion binding;negative regulation of neuron apoptosis;nucleotide binding;protein amino acid phosphorylation;protein serine/threonine kinase activity;Rho protein signal transduction;transferase activity;zinc ion binding	TGFBR,  Protein Kinase
9475	ROCK2	Rho-associated, coiled-coil containing protein kinase 2	NM_004850	NP_004841.2	ENSG00000134318	chr2:11241013 - 11401713	actin cytoskeleton;ATP binding;cytokinesis;diacylglycerol binding;intracellular;intracellular signaling cascade;metal ion binding;muscle contraction;nucleotide binding;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;structural molecule activity;transferase activity;zinc ion binding	Protein Kinase
54763	ROPN1	ropporin, rhophilin associated protein 1	NM_017578	NP_060048.2	ENSG00000065371	chr3:125170691 - 125182018	cAMP-dependent protein kinase regulator activity;integral to membrane;outer membrane;porin activity;signal transduction	Protein Kinase
